Unnamed: 0,id,pedestrian_category,pedestrian_condition,pedestrian_behaviour,situation_at_the_point_of_accident
2546,70306180043,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2547,70306180076,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2548,70306180106,Woman,good no adverse circumstances were found,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2549,70306180111,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2550,70306180162,man,not detected,"confused, hasty, indecisive behaviour",crossing at a marked crossing
2551,70306180179,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2552,70306180203,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2553,70306180295,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2554,70306180301,Woman,not detected,,another situation
2555,70306180316,man,not detected,poor estimation of the distance and speed of the vehicle,Crossing outside the crossing (20 metres or more from the crossing)
2556,70306180336,child (up to 15 years),good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",another situation
2557,70306180350,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2558,70306180361,man,"physical disability (illness, nausea, reduced mobility, etc.)",Side impact,"walking, standing on the pavement"
2559,70306180362,another group,good no adverse circumstances were found,"correct, appropriate",walking on the right side
2560,70306180410,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2561,70306180414,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2562,70306180457,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2563,70306180487,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2564,70306180497,man,good no adverse circumstances were found,"correct, appropriate",another situation
2565,70306180598,Woman,not detected,,another situation
2566,70306180643,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2567,70306180688,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2568,70306180691,child (up to 15 years),"physical disability (illness, nausea, reduced mobility, etc.)","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2569,70306180698,man,good no adverse circumstances were found,"correct, appropriate",another situation
2570,70306180923,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2571,70306180941,child (up to 15 years),"inattention, distraction",poor estimation of the distance and speed of the vehicle,crossing at a marked crossing
2572,70306180985,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2573,70306181009,man,not detected,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2574,70306181021,child (up to 15 years),good no adverse circumstances were found,,crossing at a marked crossing
2575,70306181041,man,good no adverse circumstances were found,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2576,70306181049,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2577,70306181060,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2578,70306181061,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,sudden entry into the road from a boarding or dividing island,Crossing outside the crossing (20 metres or more from the crossing)
2579,70306181064,Woman,good no adverse circumstances were found,"correct, appropriate",another situation
2580,70306181067,child (up to 15 years),"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",crossing just in front of or behind a vehicle at a bus stop
2581,70306181080,Woman,"inattention, distraction","sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2582,70306181158,man,not detected,"sudden entry into the roadway from the sidewalk, shoulder",Crossing outside the crossing (20 metres or more from the crossing)
2583,70306181161,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2584,70306181163,child (up to 15 years),good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2585,70306181168,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2586,70306181180,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2587,70306181186,man,not detected,,another situation
2588,70306181207,man,"under the influence of drugs, narcotics",Side impact,Crossing outside the crossing (20 metres or more from the crossing)
2589,70306181220,man,under the influence of alcohol with a blood alcohol content of 1‰ or more,"confused, hasty, indecisive behaviour",another situation
2590,70306181230,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entry on the signal FREE
2591,70306181246,man,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2592,70306181253,man,good no adverse circumstances were found,"correct, appropriate",pedestrian entering the roadway near the crosswalk (approx. within 20 m)
2593,70306181265,man,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2594,70306181289,man,good no adverse circumstances were found,,another situation
2595,70306181305,Woman,good no adverse circumstances were found,"correct, appropriate",Crossing outside the crossing (20 metres or more from the crossing)
2596,70306181306,Woman,good no adverse circumstances were found,Side impact,crossing at a marked crossing
2597,70306181319,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2598,70406180018,Woman,good no adverse circumstances were found,"correct, appropriate",crossing at a marked crossing
2599,70406180021,child (up to 15 years),"inattention, distraction","correct, appropriate",crossing at a marked crossing
